"VGC id","Name","Platform","Notes","Cart","Box","Manual","Other","Purchased Price","Purchased Date","Added"
"9708","Andre Panza Kick Boxing","TurboGrafx-16 [NA]","29","Yes","Yes","Yes","No","21.99","2016-03-05","2016-03-05 19:14:48"
"52106","Angry Birds: Star Wars","Nintendo 3DS [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-29 13:00:44"
"2163","Animal Crossing","GameCube [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 21:05:41"
"87340","Animal Crossing: amiibo Festival + Isabelle and Digby + Goldie, Rosie and Stitches","Wii U [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","0000-00-00 00:00:00"
"3265","Animal Crossing: Wild World","Nintendo DS [NA]","","No","No","No","No","","0000-00-00","2017-01-29 12:44:50"
"3366","Ape Escape: On the Loose","PlayStation Portable [NA]","","No","No","No","No","","0000-00-00","2015-11-02 23:53:32"
"17273","Apollo Justice: Ace Attorney","Nintendo DS [NA]","","No","No","No","No","","0000-00-00","2017-01-29 12:35:03"
"3367","Archer Maclean's Mercury","PlayStation Portable [NA]","","No","No","No","No","","0000-00-00","2015-11-02 23:53:32"
"11753","Arkanoid: Doh it Again","Super Nintendo [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2018-11-11 19:00:29"
"25014","Armored Core V","PlayStation 3 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 22:27:45"
"117946","ARMS","Nintendo Switch [NA]","","No","No","No","No","","0000-00-00","2017-07-18 19:40:50"
"24800","Army Men: Soldiers of Misfortune","PlayStation 2 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-03-19 16:42:21"
"36072","Arthur and the Invisibles","PlayStation 2 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-03-19 16:40:02"
"7915","Astal","Sega Saturn [NA]","","Yes","Yes","Yes","Yes","","0000-00-00","2018-12-21 16:17:07"
"5418","Astyanax","Nintendo Entertainment System [US]","","No","No","No","No","","0000-00-00","2015-10-22 14:42:44"
"6202","Azure Dreams","PlayStation [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-03-19 17:12:29"
"6202","Azure Dreams","PlayStation [NA]","","No","No","No","No","","0000-00-00","2015-10-16 21:18:18"
"5421","Back to the Future","Nintendo Entertainment System [US]","","No","No","No","No","","0000-00-00","2015-10-07 00:31:10"
"33331","Bahamut Lagoon","Super Famicom [JP]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2015-10-16 21:10:56"
"7916","Baku Baku","Sega Saturn [NA]","","No","No","No","No","","0000-00-00","2015-10-07 00:12:13"
"4935","Banjo-Kazooie","Nintendo 64 [NA]","","No","No","No","No","","0000-00-00","2015-10-16 21:50:03"
"1487","Barbarian","PlayStation 2 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-02-25 11:26:13"
"10716","Barnstorming","Atari 2600 (VCS) [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-27 21:23:42"
"5369","Batman","Nintendo Entertainment System [US]","","No","No","No","No","","0000-00-00","2015-10-07 00:31:22"
"9374","Batman Returns","Sega CD [NA]","","No","No","No","No","","0000-00-00","2015-10-07 00:05:28"
"546","Batman: Vengeance","Xbox [NA]","","No","No","No","No","","0000-00-00","2015-11-03 00:30:46"
"9710","Battle Royale","TurboGrafx-16 [NA]","28.99","Yes","Yes","Yes","No","14.99","2016-03-03","2016-03-07 08:46:24"
"13240","Battlefield: Bad Company","PlayStation 3 [NA]","","No","No","No","No","","0000-00-00","2017-01-28 22:26:28"
"5427","Battletoads","Nintendo Entertainment System [US]","","No","No","No","No","","0000-00-00","2015-10-07 00:26:11"
"80602","Bayonetta","Wii U [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","0000-00-00 00:00:00"
"12854","Bayonetta","Xbox 360 [NA]","","No","No","No","No","","0000-00-00","2015-11-03 00:23:45"
"12854","Bayonetta","Xbox 360 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2018-03-11 15:12:07"
"96458","Bayonetta 2","Wii U [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","0000-00-00 00:00:00"
"4824","Beautiful Katamari","Xbox 360 [NA]","","No","No","No","No","","0000-00-00","2015-11-03 09:19:40"
"4824","Beautiful Katamari","Xbox 360 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2018-03-11 15:11:16"
"10027","Beauty and the Beast: Belle's Quest","Sega Genesis [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-02-12 12:24:02"
"11024","Bermuda Triangle","Atari 2600 (VCS) [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-27 21:22:50"
"26392","Bionicle Heroes","PlayStation 2 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-02-25 11:22:30"
"13242","BioShock","PlayStation 3 [NA]","","No","No","No","No","","0000-00-00","2017-01-28 22:24:16"
"13243","BioShock 2","PlayStation 3 [NA]","","No","No","No","No","","0000-00-00","2017-01-28 22:24:16"
"16748","BioShock Infinite","PlayStation 3 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 22:25:01"
"36033","Bit.Trip Complete","Wii [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 20:34:53"
"141199","Bit.Trip, The","PlayStation 4 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","0000-00-00 00:00:00"
"1809","Black & Bruised","PlayStation 2 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-03-19 16:42:06"
"10872","Black Belt","Sega Master System [NA]","","No","No","No","No","","0000-00-00","2015-10-06 23:58:57"
"11033","Blackjack (Sears picture label)","Atari 2600 (VCS) [NA]","","No","No","No","No","","0000-00-00","2015-10-19 21:32:11"
"6019","Blades of Steel","Nintendo Entertainment System [US]","","No","No","No","No","","0000-00-00","2015-10-07 00:31:31"
"25240","Blaster Master (round seal)","Nintendo Entertainment System [US]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2015-10-16 21:12:16"
"6253","Blaster Master: Blasting Again","PlayStation [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-03-19 16:37:31"
"7928","Blazing Heroes","Sega Saturn [NA]","","No","No","No","No","","0000-00-00","2015-10-07 00:12:49"
"9711","Blazing Lazers","TurboGrafx-16 [NA]","None","Yes","Yes","Yes","Yes","44.00","0000-00-00","2017-04-14 09:30:25"
"697","Blinx: The Time Sweeper","Xbox [NA]","","No","No","No","No","","0000-00-00","2015-11-03 00:31:00"
"11014","Blob 2, de","Wii [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-02-26 20:38:26"
"61849","Bloodborne","PlayStation 4 [NA]","","No","No","No","No","","0000-00-00","2015-10-07 16:13:38"
"9712","Bloody Wolf","TurboGrafx-16 [NA]","","Yes","Yes","No","Yes","0.00","0000-00-00","2017-04-27 23:35:24"
"8184","Blue Stinger","Sega Dreamcast [NA]","","No","No","No","No","","0000-00-00","2015-10-07 15:58:53"
"550","BMX XXX","Xbox [NA]","","No","No","No","No","","0000-00-00","2015-11-03 00:31:36"
"9713","Bomberman","TurboGrafx-16 [NA]","","Yes","Yes","Yes","Yes","45.00","0000-00-00","2018-03-31 19:48:30"
"3262","Bomberman","Nintendo DS [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-29 12:41:29"
"2252","Bomberman Generation","GameCube [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 21:16:56"
"9176","Bonk's Adventure","TurboGrafx-16 [NA]","99","Yes","Yes","Yes","No","0.00","1993-01-01","2015-10-07 00:45:49"
"9715","Bonk's Revenge","TurboGrafx-16 [NA]","","Yes","Yes","Yes","Yes","","0000-00-00","2016-03-12 19:13:25"
"36327","Boogie","PlayStation 2 [NA]","","No","No","No","No","","0000-00-00","2017-03-19 16:39:18"
"11040","Bowling (Picture Label)","Atari 2600 (VCS) [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2015-10-19 21:28:41"
"10671","Boxing (blue text label)","Atari 2600 (VCS) [NA]","","No","No","No","No","","0000-00-00","2015-10-19 21:32:58"
"9717","Boxyboy","TurboGrafx-16 [NA]","","No","No","No","No","","0000-00-00","2017-06-29 19:20:07"
"9380","Bram Stoker's Dracula","Sega CD [NA]","","No","No","No","No","","0000-00-00","2015-10-07 00:05:28"
"6277","Brave Fencer Musashi","PlayStation [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-03-19 17:20:35"
"9718","Bravoman","TurboGrafx-16 [NA]","None","Yes","Yes","Yes","Yes","30.00","0000-00-00","2018-01-16 13:16:24"
"2934","Breath of Fire II","Game Boy Advance [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2015-10-16 21:43:40"
"11049","Bridge","Atari 2600 (VCS) [NA]","","No","No","No","No","","0000-00-00","2015-10-19 21:33:08"
"213","Bruce Lee: Quest of the Dragon","Xbox [NA]","","No","No","No","No","","0000-00-00","2015-11-03 00:31:36"
"14749","Brütal Legend","PlayStation 3 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 22:29:11"
"7934","Bug!","Sega Saturn [NA]","","No","No","No","No","","0000-00-00","2015-10-07 00:12:49"
"11051","Bugs","Atari 2600 (VCS) [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-27 21:20:58"
"59734","Burnout 3: Takedown","Xbox Games Store (X360) [NA]","","No","No","No","No","","0000-00-00","2018-03-11 15:10:20"
"6298","Bushido Blade","PlayStation [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-03-19 17:18:17"
"6299","Bushido Blade 2","PlayStation [NA]","","No","No","No","No","","0000-00-00","2017-03-19 17:19:46"
"9271","California Games","Atari Lynx [NA]","","Yes","No","No","No","0.00","0000-00-00","2017-03-19 20:22:53"
"19995","Call of Cthulhu: Shadow of the Comet","PC [NA]","","No","No","No","No","","0000-00-00","2015-11-02 23:38:08"
"59768","Call of Duty: Advanced Warfare","PlayStation 4 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2018-03-11 15:40:28"
"71475","Call of Duty: Advanced Warfare - Day Zero Edition","PlayStation 4 [NA]","","No","No","No","No","","0000-00-00","2015-10-07 16:13:52"
"4789","Call of Duty: World at War","Xbox 360 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2018-03-11 15:05:33"
"17361","Call of Juarez: The Cartel","PlayStation 3 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 22:28:13"
"61795","Captain Toad: Treasure Tracker","Wii U [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2018-03-11 15:45:35"
"19362","Cartoon Network: Punch Time Explosion","Nintendo 3DS [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-29 12:58:01"
"9185","Casino (Text Label)","Atari 2600 (VCS) [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2015-10-19 21:28:04"
"2581","Castlevania: Aria of Sorrow","Game Boy Advance [NA]","","No","No","No","No","","0000-00-00","2015-10-16 21:42:33"
"2593","Castlevania: Circle of the Moon","Game Boy Advance [NA]","","No","No","No","No","","0000-00-00","2015-10-16 21:42:33"
"3306","Castlevania: Dawn of Sorrow","Nintendo DS [NA]","","No","No","No","No","","0000-00-00","2017-01-29 12:43:49"
"2603","Castlevania: Harmony of Dissonance","Game Boy Advance [NA]","","No","No","No","No","","0000-00-00","2015-10-16 21:42:33"
"13252","Castlevania: Lords of Shadow","PlayStation 3 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 22:18:06"
"6","Castlevania: Portrait of Ruin","Nintendo DS [NA]","","No","No","No","No","","0000-00-00","2017-01-29 12:43:49"
"6325","Castlevania: Symphony of the Night","PlayStation [NA]","","No","No","No","No","","0000-00-00","2017-03-19 17:21:51"
"10068","Chakan","Sega Genesis [NA]","","No","No","No","No","","0000-00-00","2017-07-25 00:27:00"
"9720","Champions Forever Boxing","TurboGrafx-16 [NA]","","Yes","Yes","Yes","Yes","29.99","0000-00-00","2018-03-15 21:07:43"
"1079","Champions of Norrath","PlayStation 2 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 21:41:28"
"19565","Child of Eden","PlayStation 3 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2018-03-11 18:51:27"
"10832","China Warrior","TurboGrafx-16 [NA]","20","Yes","Yes","Yes","No","16.99","2016-01-01","2016-02-28 11:25:44"
"9275","Chip's Challenge (curved cartridge)","Atari Lynx [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-03-19 20:20:52"
"9275","Chip's Challenge (curved cartridge)","Atari Lynx [NA]","None","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-03-21 16:02:27"
"10874","Choplifter","Sega Master System [NA]","","No","No","No","No","","0000-00-00","2016-12-12 01:19:33"
"15898","Chopper Command (blue text label)","Atari 2600 (VCS) [NA]","","No","No","No","No","","0000-00-00","2015-10-19 21:34:23"
"13714","Choujikuu Yousai Macross 2036","PC Engine CD [JP]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2016-03-05 19:20:33"
"16300","Chrono Trigger","Super Famicom [JP]","","No","No","No","No","","0000-00-00","2015-10-11 23:39:34"
"8196","ChuChu Rocket!","Sega Dreamcast [NA]","","No","No","No","No","","0000-00-00","2015-10-07 15:59:33"
"7941","Clockwork Knight","Sega Saturn [NA]","","No","No","No","No","","0000-00-00","2015-10-07 00:12:49"
"9390","Cobra Command","Sega CD [NA]","","No","No","No","No","","0000-00-00","2015-10-07 00:06:03"
"9390","Cobra Command","Sega CD [NA]","","Yes","No","Yes","No","0.00","0000-00-00","2017-05-28 16:19:34"
"67036","Codename: Iceman","PC [NA]","","No","No","No","No","","0000-00-00","2015-11-03 14:19:22"
"15272","Combat (Picture Label)","Atari 2600 (VCS) [NA]","","No","No","No","No","","0000-00-00","2015-10-19 21:34:23"
"18113","Conan","Xbox 360 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2018-03-11 15:53:33"
"4968","Conker's Bad Fur Day","Nintendo 64 [NA]","","No","No","No","No","","0000-00-00","2015-10-16 21:51:23"
"4775","Contra (round seal)","Nintendo Entertainment System [US]","","No","No","No","No","","0000-00-00","2017-01-28 21:30:20"
"15339","Cooking Mama: Cook Off","Wii [NA]","","No","No","No","No","","0000-00-00","2017-01-28 20:46:02"
"10992","Cosmic Fantasy 2","TurboGrafx-CD [NA]","","No","No","No","No","","0000-00-00","2015-10-07 00:01:42"
"13569","Cosmic Fantasy 3: Bouken Shounen Rei","PC Engine CD [JP]","","No","No","No","No","","0000-00-00","2016-03-07 07:48:11"
"106249","Crash Bandicoot N. Sane Trilogy","PlayStation 4 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","0000-00-00 00:00:00"
"1178","Crash Bandicoot: The Wrath of Cortex","PlayStation 2 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 22:06:50"
"15530","Cratermaze","TurboGrafx-16 [NA]","","No","No","No","No","","0000-00-00","2016-03-16 23:35:04"
"8200","Crazy Taxi","Sega Dreamcast [NA]","","No","No","No","No","","0000-00-00","2015-10-07 15:59:33"
"568","Crazy Taxi 3: High Roller","Xbox [NA]","","No","No","No","No","","0000-00-00","2015-11-03 00:33:37"
"152","Crisis Core: Final Fantasy VII","PlayStation Portable [NA]","","No","No","No","No","","0000-00-00","2015-11-02 23:55:22"
"4971","Cruis'n World","Nintendo 64 [NA]","","No","No","No","No","","0000-00-00","2015-10-16 21:51:23"
"9276","Crystal Mines II","Atari Lynx [NA]","","Yes","No","No","No","0.00","0000-00-00","2017-03-19 20:24:08"
"9276","Crystal Mines II","Atari Lynx [NA]","None","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-03-21 16:01:13"
"17062","Curse of Monkey Island, The","PC [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2015-11-03 18:24:42"
"10938","Cyber-Core","TurboGrafx-16 [NA]","","No","No","No","No","","0000-00-00","2017-03-29 13:06:31"
"14975","Dance Central","Xbox 360 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-03-12 16:27:07"
"14975","Dance Central","Xbox 360 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2018-03-11 15:10:34"
"20320","Dance Central 2","Xbox 360 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2018-03-11 15:27:56"
"9548","Dance Dance Revolution Extreme","PlayStation 2 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","0000-00-00 00:00:00"
"571","Dance Dance Revolution Ultramix","Xbox [NA]","","No","No","No","No","","0000-00-00","2015-11-03 00:33:37"
"572","Dance Dance Revolution Ultramix 2","Xbox [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-03-12 16:27:30"
"15338","Dance Dance Revolution: Mario Mix","GameCube [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2018-03-11 18:51:45"
"1822","Dark Cloud","PlayStation 2 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2016-02-22 10:24:34"
"20571","Dark Cloud - Greatest Hits","PlayStation 2 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","0000-00-00 00:00:00"
"7960","Dark Savior","Sega Saturn [NA]","","No","No","No","No","","0000-00-00","2015-10-07 00:13:30"
"9396","Dark Wizard","Sega CD [NA]","","No","No","No","No","","0000-00-00","2015-10-07 00:09:47"
"8203","Dave Mirra Freestyle BMX","Sega Dreamcast [NA]","","No","No","No","No","","0000-00-00","2015-10-07 15:59:33"
"6414","Dave Mirra Freestyle BMX","PlayStation [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-03-19 17:20:01"
"723","Dave Mirra Freestyle BMX 2","Xbox [NA]","","No","No","No","No","","0000-00-00","2015-11-03 00:33:37"
"14544","David Crane's Pitfall II: Lost Caverns","Atari 2600 (VCS) [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-27 21:18:50"
"15532","Davis Cup Tennis","TurboGrafx-16 [NA]","","No","No","No","No","","0000-00-00","2018-03-31 19:47:38"
"62145","Day of the Tentacle","PC [EU]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2015-11-02 23:28:43"
"37168","Daytona USA (Not for Resale)","Sega Saturn [NA]","","No","No","No","No","","0000-00-00","2015-10-07 00:13:30"
"9561","DDRMAX 2: Dance Dance Revolution","PlayStation 2 [NA]","","No","No","No","No","","0000-00-00","2017-01-28 21:41:44"
"9560","DDRMAX: Dance Dance Revolution","PlayStation 2 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","0000-00-00 00:00:00"
"9560","DDRMAX: Dance Dance Revolution","PlayStation 2 [NA]","","No","No","No","No","","0000-00-00","2017-01-28 21:41:44"
"298","Dead or Alive 3","Xbox [NA]","","No","No","No","No","","0000-00-00","2015-11-03 00:34:04"
"189","Dead or Alive Xtreme Beach Volleyball","Xbox [NA]","","No","No","No","No","","0000-00-00","2015-11-03 00:34:04"
"13304","Dead Space","PlayStation 3 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 22:17:00"
"13305","Dead Space 2","PlayStation 3 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 22:23:10"
"486","Dead to Rights","Xbox [NA]","","No","No","No","No","","0000-00-00","2015-11-03 00:34:04"
"77713","Death Jr. Limited Edition","PlayStation Portable [NA]","","No","No","No","No","","0000-00-00","2015-11-02 23:55:22"
"15534","Deep Blue","TurboGrafx-16 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2018-04-13 10:27:22"
"2257","Defender","GameCube [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-27 20:48:29"
"45935","Destiny","PlayStation 3 [NA]","","No","No","No","No","","0000-00-00","2016-01-13 12:19:04"
"48656","Destiny","PlayStation 4 [NA]","","No","No","No","No","","0000-00-00","2015-10-07 16:14:09"
"68285","Destiny","Xbox One [NA]","","No","No","No","No","","0000-00-00","2016-01-13 12:19:04"
"70561","Destiny","PlayStation Network (PS4) [NA]","","No","No","No","No","","0000-00-00","2016-01-13 12:19:04"
"45935","Destiny","PlayStation 3 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 22:30:35"
"85863","Deus Ex: Mankind Divided - Day One Edition","PlayStation 4 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","0000-00-00 00:00:00"
"13260","Devil May Cry","PlayStation 2 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 21:43:15"
"11707","Devil May Cry 4","PlayStation 3 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 22:21:05"
"21710","Devil's Crush","TurboGrafx-16 [NA]","None","Yes","Yes","Yes","No","","0000-00-00","2017-04-29 11:13:29"
"96983","Diablo III: Reaper of Souls - Ultimate Evil Edition","PlayStation 4 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","0000-00-00 00:00:00"
"7968","Die Hard Trilogy","Sega Saturn [NA]","","No","No","No","No","","0000-00-00","2015-10-07 00:13:30"
"12789","Dig Dug","Atari 7800 [NA]","","No","No","No","No","","0000-00-00","2017-07-25 00:26:28"
"12781","Dig Dug","Atari 2600 (VCS) [NA]","","No","No","No","No","","0000-00-00","2017-03-21 16:00:10"
"12781","Dig Dug","Atari 2600 (VCS) [NA]","","No","No","No","No","","0000-00-00","2017-07-25 00:26:28"
"12781","Dig Dug","Atari 2600 (VCS) [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-27 21:16:24"
"21712","Dig Dug: Digging Strike","Nintendo DS [NA]","","No","No","No","No","","0000-00-00","2017-01-29 12:31:30"
"8209","Dino Crisis","Sega Dreamcast [NA]","","No","No","No","No","","0000-00-00","2015-11-03 00:14:53"
"35473","Disney Epic Mickey 2: The Power of Two","Wii U [NA]","","No","No","No","No","","0000-00-00","2018-03-11 15:47:48"
"111280","Disney Infinity","Wii U [NA]","","No","No","No","No","","0000-00-00","2018-03-11 15:52:03"
"68914","Disney Infinity 2.0 - Marvel Super Heroes Starter Pack","PlayStation 4 [NA]","","No","No","No","No","","0000-00-00","2015-10-07 16:14:49"
"111279","Disney Infinity 2.0 Edition","Wii U [NA]","","No","No","No","No","","0000-00-00","2018-03-11 15:52:03"
"101928","Disney Infinity 3.0","Wii U [EU]","","No","No","No","No","","0000-00-00","2018-03-11 15:52:26"
"10831","Disney's Talespin","TurboGrafx-16 [NA]","","No","No","No","No","","0000-00-00","2018-02-13 01:41:15"
"9660","Disney/Pixar Monsters, Inc.","Game Boy Color [NA]","","No","No","No","No","","0000-00-00","2015-11-02 23:50:34"
"18765","DJ Hero","PlayStation 3 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 22:18:20"
"18768","DJ Hero 2","PlayStation 3 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 22:16:15"
"4979","Donkey Kong 64","Nintendo 64 [NA]","","No","No","No","No","","0000-00-00","2015-10-16 21:51:23"
"74","Donkey Kong Country","Super Nintendo [NA]","","Yes","No","Yes","Yes","0.00","0000-00-00","2018-11-11 19:07:05"
"74","Donkey Kong Country","Super Nintendo [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-27 21:40:42"
"75","Donkey Kong Country 2: Diddy's Kong Quest","Super Nintendo [NA]","","No","No","No","No","","0000-00-00","2018-11-12 10:50:33"
"76","Donkey Kong Country 3: Dixie Kong's Double Trouble!","Super Nintendo [NA]","","No","No","No","No","","0000-00-00","2018-11-12 10:50:33"
"2258","Donkey Kong Jungle Beat","GameCube [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 21:08:03"
"2326","Donkey Konga","GameCube [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 21:08:17"
"5713","Double Dragon","Nintendo Entertainment System [US]","","No","No","No","No","","0000-00-00","2015-10-07 00:30:12"
"10948","Double Dungeons","TurboGrafx-16 [NA]","30","Yes","Yes","Yes","No","22.99","2016-03-03","2016-03-05 19:15:56"
